Addr: 0006cd8c, Data fff1
Addr: 0006cd8d, Data fff7
Addr: 0006cd8e, Data 0031
Addr: 0006cd8f, Data 0051
Addr: 0006cd90, Data 000a
Addr: 0006cd91, Data fff0
Addr: 0006cd92, Data fff0
Addr: 0006cd93, Data fff0
Addr: 0006cd94, Data 0000
Addr: 0006cd95, Data 0000
Addr: 0006cd96, Data 0000
Addr: 0006cd97, Data 0000
Addr: 0006cd98, Data fff0
Addr: 0006cd99, Data fff0
Addr: 0006cd9a, Data fff0
Addr: 0006cd9b, Data fff0
Addr: 0006cd9c, Data 0000
Addr: 0006cd9d, Data 0044
Addr: 0006cd9e, Data 003f
Addr: 0006cd9f, Data 0034
Addr: 0006cda0, Data 0039
Addr: 0006cda1, Data 0016
Addr: 0006cda2, Data fff2
Addr: 0006cda3, Data fff0
Addr: 0006cda4, Data 0000
Addr: 0006cda5, Data 0000
Addr: 0006cda6, Data 0000
Addr: 0006cda7, Data 0000
Addr: 0006cda8, Data fff0
Addr: 0006cda9, Data fff0
Addr: 0006cdaa, Data fff0
Addr: 0006cdab, Data fff0
Addr: 0006cdac, Data 0018
Addr: 0006cdad, Data 0025
Addr: 0006cdae, Data ffea
Addr: 0006cdaf, Data ffd7
Addr: 0006cdb0, Data 0024
Addr: 0006cdb1, Data ffe7
Addr: 0006cdb2, Data 0002
Addr: 0006cdb3, Data fff0
Addr: 0006cdb4, Data 0000
Addr: 0006cdb5, Data 0000
Addr: 0006cdb6, Data 0000
Addr: 0006cdb7, Data 0000
Addr: 0006cdb8, Data fff0
Addr: 0006cdb9, Data fff0
Addr: 0006cdba, Data fff0
Addr: 0006cdbb, Data fff0
Addr: 0006cdbc, Data 0007
Addr: 0006cdbd, Data 0011
Addr: 0006cdbe, Data ffd1
Addr: 0006cdbf, Data ffb8
Addr: 0006cdc0, Data ffb9
Addr: 0006cdc1, Data 000a
Addr: 0006cdc2, Data ffed
Addr: 0006cdc3, Data 0004
Addr: 0006cdc4, Data 0000
Addr: 0006cdc5, Data 0000
Addr: 0006cdc6, Data 0000
Addr: 0006cdc7, Data 0000
Addr: 0006cdc8, Data fff0
Addr: 0006cdc9, Data fff0
Addr: 0006cdca, Data fff0
Addr: 0006cdcb, Data fff5
Addr: 0006cdcc, Data 000f
Addr: 0006cdcd, Data 0006
Addr: 0006cdce, Data ff95
Addr: 0006cdcf, Data ffda
Addr: 0006cdd0, Data ffdf
Addr: 0006cdd1, Data fff2
Addr: 0006cdd2, Data ffb6
Addr: 0006cdd3, Data 0006
Addr: 0006cdd4, Data 0000
Addr: 0006cdd5, Data 0000
Addr: 0006cdd6, Data 0000
Addr: 0006cdd7, Data 0000
Addr: 0006cdd8, Data fff0
Addr: 0006cdd9, Data fff0
Addr: 0006cdda, Data fff0
Addr: 0006cddb, Data 000a
Addr: 0006cddc, Data 0010
Addr: 0006cddd, Data fff7
Addr: 0006cdde, Data ffa7
Addr: 0006cddf, Data ffe8
Addr: 0006cde0, Data fff3
Addr: 0006cde1, Data fff2
Addr: 0006cde2, Data ffb7
Addr: 0006cde3, Data fff0
Addr: 0006cde4, Data 0000
Addr: 0006cde5, Data 0000
Addr: 0006cde6, Data 0000
Addr: 0006cde7, Data 0000
Addr: 0006cde8, Data fff0
Addr: 0006cde9, Data fff0
Addr: 0006cdea, Data fff0
Addr: 0006cdeb, Data 0001
Addr: 0006cdec, Data 0011
Addr: 0006cded, Data ffab
Addr: 0006cdee, Data ffba
Addr: 0006cdef, Data fff0
Addr: 0006cdf0, Data 0001
Addr: 0006cdf1, Data fff4
Addr: 0006cdf2, Data ffb9
Addr: 0006cdf3, Data fff0
Addr: 0006cdf4, Data 0000
Addr: 0006cdf5, Data 0000
Addr: 0006cdf6, Data 0000
Addr: 0006cdf7, Data 0000
Addr: 0006cdf8, Data fff0
Addr: 0006cdf9, Data fff0
Addr: 0006cdfa, Data fff0
Addr: 0006cdfb, Data fff4
Addr: 0006cdfc, Data fffe
Addr: 0006cdfd, Data ffb2
Addr: 0006cdfe, Data ffd3
Addr: 0006cdff, Data fff1
Addr: 0006ce00, Data 0008
Addr: 0006ce01, Data ffe2
Addr: 0006ce02, Data ffb9
Addr: 0006ce03, Data fff0
Addr: 0006ce04, Data 0000
Addr: 0006ce05, Data 0000
Addr: 0006ce06, Data 0000
Addr: 0006ce07, Data 0000
Addr: 0006ce08, Data fff0
Addr: 0006ce09, Data fff0
Addr: 0006ce0a, Data fff0
Addr: 0006ce0b, Data fff6
Addr: 0006ce0c, Data 0010
Addr: 0006ce0d, Data ffbf
Addr: 0006ce0e, Data fff2
Addr: 0006ce0f, Data 0039
Addr: 0006ce10, Data 001e
Addr: 0006ce11, Data ffe5
Addr: 0006ce12, Data ffce
Addr: 0006ce13, Data fff0
Addr: 0006ce14, Data 0000
Addr: 0006ce15, Data 0000
Addr: 0006ce16, Data 0000
Addr: 0006ce17, Data 0000
Addr: 0006ce18, Data fff0
Addr: 0006ce19, Data fff0
Addr: 0006ce1a, Data fff0
Addr: 0006ce1b, Data fff0
Addr: 0006ce1c, Data 000a
Addr: 0006ce1d, Data 000e
Addr: 0006ce1e, Data 004d
Addr: 0006ce1f, Data 003f
Addr: 0006ce20, Data ffde
Addr: 0006ce21, Data ffd0
Addr: 0006ce22, Data ffc8
Addr: 0006ce23, Data fff0
Addr: 0006ce24, Data 0000
Addr: 0006ce25, Data 0000
Addr: 0006ce26, Data 0000
Addr: 0006ce27, Data 0000
Addr: 0006ce28, Data fff0
Addr: 0006ce29, Data fff0
Addr: 0006ce2a, Data fff0
Addr: 0006ce2b, Data ffff
Addr: 0006ce2c, Data ffcc
Addr: 0006ce2d, Data ffce
Addr: 0006ce2e, Data ffca
Addr: 0006ce2f, Data ffd2
Addr: 0006ce30, Data ffe0
Addr: 0006ce31, Data ffc0
