Addr: 0006dd22, Data ffd0
Addr: 0006dd23, Data ff6f
Addr: 0006dd24, Data ff6d
Addr: 0006dd25, Data 0092
Addr: 0006dd26, Data 00b4
Addr: 0006dd27, Data ff1e
Addr: 0006dd28, Data ffee
Addr: 0006dd29, Data ffb3
Addr: 0006dd2a, Data fee6
Addr: 0006dd2b, Data ff7a
Addr: 0006dd2c, Data ffba
Addr: 0006dd2d, Data 003b
Addr: 0006dd2e, Data ff34
Addr: 0006dd2f, Data 000a
Addr: 0006dd30, Data ffb1
Addr: 0006dd31, Data 0031
Addr: 0006dd32, Data ff55
Addr: 0006dd33, Data 007e
Addr: 0006dd34, Data ffb8
Addr: 0006dd35, Data 0038
Addr: 0006dd36, Data ff5b
Addr: 0006dd37, Data 0015
Addr: 0006dd38, Data ffcb
Addr: 0006dd39, Data 002a
Addr: 0006dd3a, Data ff9f
Addr: 0006dd3b, Data 0070
Addr: 0006dd3c, Data ffd4
Addr: 0006dd3d, Data 007d
Addr: 0006dd3e, Data ffa1
Addr: 0006dd3f, Data 004a
Addr: 0006dd40, Data 0047
Addr: 0006dd41, Data 0092
Addr: 0006dd42, Data ff73
Addr: 0006dd43, Data 0058
Addr: 0006dd44, Data 0061
Addr: 0006dd45, Data 00b2
Addr: 0006dd46, Data ff31
Addr: 0006dd47, Data ffec
Addr: 0006dd48, Data ff67
Addr: 0006dd49, Data fff6
Addr: 0006dd4a, Data ffe5
Addr: 0006dd4b, Data 0029
Addr: 0006dd4c, Data ff5c
Addr: 0006dd4d, Data 00a5
Addr: 0006dd4e, Data fffb
Addr: 0006dd4f, Data fff0
Addr: 0006dd50, Data ff98
Addr: 0006dd51, Data 008d
Addr: 0006dd52, Data ffa3
Addr: 0006dd53, Data 0015
Addr: 0006dd54, Data 0006
Addr: 0006dd55, Data 00ba
Addr: 0006dd56, Data ffc3
Addr: 0006dd57, Data 0010
Addr: 0006dd58, Data ffbc
Addr: 0006dd59, Data ffe9
Addr: 0006dd5a, Data ffdf
Addr: 0006dd5b, Data ffd3
Addr: 0006dd5c, Data ffaa
Addr: 0006dd5d, Data ffbe
Addr: 0006dd5e, Data ffdd
Addr: 0006dd5f, Data ff78
Addr: 0006dd60, Data ffdc
Addr: 0006dd61, Data ff69
Addr: 0006dd62, Data ffc3
Addr: 0006dd63, Data ff65
Addr: 0006dd64, Data 0009
Addr: 0006dd65, Data ff1a
Addr: 0006dd66, Data 003a
Addr: 0006dd67, Data ffc6
